Constituency,ONS Code,Total population,Population weighting,Region,Country,Change,Party,Majority,Turnout,Con,Lab,LD,Grn,Brx,SNP,PC,DUP,SF,APNI,SDLP,UUP,Aontú,PBP,Con (NI),Grn (NI),Other[a],Total,Votes for winner,% majority,Probability,Voter Power Index
Crewe and Nantwich,E14001185,109504,0.941012762,NW,England,6.2,Con,5816,65.8,25511,19695,2573,951,1317,0,0,,,,,,,,,,149,50196,25511,12%,0.136580075,0.257047187
Spen Valley,E14001506,95132,1.083175604,YH,England,56.7,Con,6064,65.4,21886,15822,2755,830,1627,0,0,,,,,,,,,,4289,47209,21886,13%,0.118624989,0.256983387
Swindon South,E14001537,113019,0.911746357,SW,England,29.2,Con,5650,68.3,25564,19914,3788,261,0,0,0,,,,,,,,,,0,49527,25564,11%,0.139340584,0.25408654
Norwich North,E14001408,99131,1.039479694,EE,England,7.8,Con,6365,70.6,25997,19632,3141,1144,21,0,0,,,,,,,,,,488,50423,25997,13%,0.12160874,0.252819631
Rother Valley,E14001451,91724,1.123420932,YH,England,8.6,Con,6135,64.8,20975,14840,2195,1124,5314,0,0,,,,,,,,,,1040,45488,20975,13%,0.110394009,0.248037881
Glasgow South West,S14000088,99400,1.036666615,SC,Scotland,47.1,SNP,5533,61.1,5423,14561,1892,358,695,20094,0,,,,,,,,,,0,43023,20094,13%,0.11841851,0.245521033
Barnsley South,E14001075,104865,0.982641125,YH,England,61.4,Lab,"4,720",49.4,8497,15684,1311,773,10964,0,0,,,,,,,,,,279,"37,508",15684,13%,0.122144174,0.240047778
Milton Keynes North,E14001370,99602,1.034564181,SE,England,52.5,Con,6327,68.4,24933,18606,3246,1499,0,0,0,,,,,,,,,,0,48284,24933,13%,0.115237071,0.238440293
Cities of London and Westminster,E14001172,119981,0.858841496,GL,England,32.6,Con,5976,71.3,21020,15044,14713,1010,103,0,0,,,,,,,,,,226,52116,21020,11%,0.138425816,0.237771669
Bristol North West,E14001134,109197,0.943658356,SW,England,23.7,Lab,7235,76.1,21312,28547,4735,3728,83,0,0,,,,,,,,,,0,58405,28547,12%,0.124859941,0.235650253
Newcastle upon Tyne North,E14001379,106732,0.965452362,NE,England,125.2,Lab,"6,823",70.8,17207,24030,7595,2193,3118,0,0,,,,,,,,,,0,"54,143",24030,13%,0.121900479,0.23537821
Cardiff North,W07000090,93891,1.097492428,WA,Wales,4.3,Lab,7579,76.9,19551,27130,3582,820,1450,0,1888,,,,,,,,,,288,54709,27130,14%,0.105957587,0.232575298
Southport,E14001504,97373,1.058246758,NW,England,33.2,Con,6771,67.2,25092,18321,6217,178,0,0,0,,,,,,,,,,0,49808,25092,14%,0.109077376,0.230861559
Tipton and Wednesbury,E14001547,113995,0.903940186,WM,England,70.2,Con,4693,51.7,19371,14678,1195,722,2234,0,0,,,,,,,,,,0,38200,19371,12%,0.126298731,0.228332997
Penistone and Stocksbridge,E14001423,89019,1.157558067,YH,England,none,Con,7210,69.4,23688,16478,5054,0,4300,0,0,,,,,,,,,,0,49520,23688,15%,0.097896758,0.226642363
Worcester,E14001597,103872,0.992035019,WM,England,none,Con,6758,68.8,25856,19098,3666,1694,0,0,0,,,,,,,,,,584,50898,25856,13%,0.113015404,0.224230477
Gateshead Central and Whickham,E14001244,97980,1.051690769,NE,England,50.6,Lab,5911,59.2,13876,19787,5138,1591,1629,0,0,,,,,,,,,,0,42021,19787,14%,0.103454217,0.217603691
Shrewsbury,E14001473,100113,1.029283525,WM,England,9.1,Con,7175,68.6,25454,18279,5574,1675,0,0,0,,,,,,,,,,572,51554,25454,14%,0.10519904,0.216559277
East Worthing and Shoreham,E14001218,99623,1.0343461,SE,England,none,Con,7474,70.4,27107,19633,4127,2006,0,0,0,,,,,,,,,,255,53128,27107,14%,0.103441063,0.213987721
Finchley and Golders Green,E14001238,126127,0.816991299,GL,England,0.8,Con,6629,73.1,24267,13500,17638,7,0,0,0,,,,,,,,,,0,55412,24267,12%,0.130940036,0.21395374
Glasgow North,S14000085,107000,0.96303422,SC,Scotland,77,SNP,5582,56.7,3658,14172,2156,1553,246,19754,0,,,,,,,,,,0,41539,19754,13%,0.111002754,0.213798902
Richmond Park,E14001445,111482,0.924316585,GL,England,8.2,LD,7725,78.7,23970,3109,31695,0,0,0,0,,,,,,,,,,308,59082,31695,13%,0.115607715,0.213716257
Strangford,N05000016,98200,1.049334639,NI,Northern Ireland,21.8,DUP,5677,56.8,,,,,,,,16128,3017,10451,4002,3677,193,,1341,717,308,39834,16128,14%,0.101334197,0.212666966
Colne Valley,E14001177,93050,1.107411731,YH,England,15.6,Con,7761,72.4,26517,18756,3630,893,1089,0,0,,,,,,,,,,880,51765,26517,15%,0.093262627,0.206560254
Blyth and Ashington,E14001107,101534,1.014878381,NE,England,72.1,Lab,6118,57,14382,20500,2761,1248,3921,0,0,,,,,,,,,,178,42990,20500,14%,0.101566306,0.206154896
Leicester East,E14001326,124655,0.826638815,EM,England,2.9,Lab,5999,63.1,18564,24563,2716,858,1210,0,0,,,,,,,,,,329,48240,24563,12%,0.124189105,0.205319069
Kingston upon Hull North and Cottingham,E14001314,115500,0.892161572,YH,England,47.3,Lab,5922,59.1,15037,20959,2915,1173,4857,0,0,,,,,,,,,,0,44941,20959,13%,0.114291601,0.203933149
Winchester,E14001587,104765,0.983579073,SE,England,47.3,Con,9050,83.5,34522,3039,25472,586,0,0,0,,,,,,,,,,292,63911,34522,14%,0.102376033,0.201389847
Barrow and Furness,E14001076,97424,1.057692781,NW,England,11.5,Con,7436,65.3,26551,19115,2256,770,1355,0,0,,,,,,,,,,0,50047,26551,15%,0.094680527,0.20028582
Leicester West,E14001328,125114,0.823606163,EM,England,12.8,Lab,4882,53,14145,19027,2592,1091,1740,0,0,,,,,,,,,,0,38595,19027,13%,0.121253782,0.199730725
Southampton Test,E14001500,110532,0.932260898,SE,England,none,Lab,6213,64.3,16043,22256,3449,1433,1591,0,0,,,,,,,,,,222,44994,22256,14%,0.106490441,0.198553748
Caerphilly,W07000088,96373,1.069227497,WA,Wales,30.8,Lab,6901,62.2,12882,19783,323,164,5287,0,6630,,,,,,,,,,0,45069,19783,15%,0.089986123,0.192431274
Stirling and Strathallan,S14000105,103000,1.000433607,SC,Scotland,9.9,SNP,8556,75.1,20254,4424,3381,942,0,28810,0,,,,,,,,,,0,57811,28810,15%,0.095298448,0.19067954
Luton South and South Bedfordshire,E14001346,123500,0.834369729,EE,England,16,Lab,6066,64.2,15876,21942,225,1201,1497,0,0,,,,,,,,,,4359,45100,21942,13%,0.110851967,0.184983052
Wigan,E14001585,104890,0.982406917,NW,England,none,Lab,6728,59.6,14314,21042,2428,1299,5959,0,0,,,,,,,,,,0,45042,21042,15%,0.093845056,0.184388065
East Antrim,N05000005,97000,1.062316098,NI,Northern Ireland,13.7,DUP,6395,57.4,,,,,,,,16818,3120,10423,1432,6671,,,1007,685,,40156,16818,16%,0.084012392,0.178495433
Bishop Auckland,E14001101,92284,1.116603762,NE,England,52.9,Con,8113,69.9,26239,18126,1782,300,2739,0,0,,,,,,,,,,325,49511,26239,16%,0.079785936,0.178178552
Derby South,E14001194,118517,0.869450472,EM,England,none,Lab,6019,58.9,15671,21690,2621,0,2480,0,0,,,,,,,,,,0,42462,21690,14%,0.1022075,0.177728719
Glasgow East,S14000084,106000,0.972119448,SC,Scotland,84.2,SNP,6276,59,5071,13779,1689,566,25,20055,0,,,,,,,,,,0,41185,20055,15%,0.090730142,0.176401072
Exmouth and Exeter East,E14001232,99930,1.031168433,SW,England,40.6,Con,8809,74.9,27828,5878,1691,970,171,0,0,,,,,,,,,,19294,55832,27828,16%,0.085413724,0.176151873
Mid and South Pembrokeshire,W07000100,101014,1.020102773,WA,Wales,89.1,Con,8621,71.6,29072,20451,2531,0,0,0,2917,,,,,,,,,,0,54971,29072,16%,0.086326176,0.176123143
Filton and Bradley Stoke,E14001237,107341,0.959974861,SW,England,34.8,Con,"7,842",70,26263,18421,5153,1402,0,0,0,,,,,,,,,,256,"51,495",26263,15%,0.090830746,0.174390466
West Lancashire,E14001577,100436,1.025973371,NW,England,none,Lab,8336,71.5,19122,27458,2560,1248,2275,0,0,,,,,,,,,,0,52663,27458,16%,0.08492476,0.174261084
Harrogate and Knaresborough,E14001269,101182,1.018409021,YH,England,6.2,Con,8787,73.3,28873,5349,20086,27,0,0,0,,,,,,,,,,1208,55543,28873,16%,0.085008263,0.173146363
Leeds South West and Morley,E14001324,95719,1.076532993,YH,England,55.5,Con,7114,61.1,23166,16052,1207,1440,780,0,0,,,,,,,,,,957,43602,23166,16%,0.08041835,0.173146014
Hamilton and Clyde Valley,S14000092,96600,1.066714923,SC,Scotland,77.9,SNP,7758,63.6,12076,12846,1816,79,0,20604,0,,,,,,,,,,0,47421,20604,16%,0.080022349,0.170722067
Huddersfield,E14001297,112042,0.919696735,YH,England,24.6,Lab,7441,64.9,17945,25386,2449,1884,1696,0,0,,,,,,,,,,0,49360,25386,15%,0.092407915,0.169974516
East Thanet,E14001216,105074,0.980686578,SE,England,33.5,Con,7585,64.9,25616,18031,2486,1791,0,0,0,,,,,,,,,,0,47924,25616,16%,0.08494195,0.166602861
Brighton Kemptown and Peacehaven,E14001129,95377,1.080393193,SE,England,1.6,Lab,8280,70.8,17019,25299,2964,2813,1335,0,0,,,,,,,,,,0,49430,25299,17%,0.0765926,0.165500248
Taunton and Wellington,E14001540,107904,0.954966095,SW,England,12.9,Con,8536,71.6,28298,4299,19762,0,0,0,0,,,,,,,,,,2081,54440,28298,16%,0.086356804,0.16493564
"Brecon, Radnor and Cwm Tawe",W07000085,92055,1.119381473,WA,Wales,33.9,Con,9091,72.5,24368,9164,15277,221,964,0,1692,,,,,,,,,,590,52276,24368,17%,0.071299155,0.159621907
Newcastle-under-Lyme,E14001380,92899,1.109211741,WM,England,5.1,Con,8265,67.6,25008,16743,2670,1021,1921,0,0,,,,,,,,,,0,47363,25008,17%,0.070822099,0.157113408
South Ribble,E14001491,94711,1.087990429,NW,England,30.2,Con,8515,68.3,26348,17833,3812,1237,0,0,0,,,,,,,,,,0,49230,26348,17%,0.072053963,0.156788045
Eastleigh,E14001220,93554,1.101445812,SE,England,67.9,Con,8641,70.8,25711,5778,17070,1013,0,0,0,,,,,,,,,,0,49572,25711,17%,0.070973917,0.156347848
Sutton and Cheam,E14001534,104625,0.984895212,GL,England,none,Con,8351,70.8,25235,7200,16884,1168,0,0,0,,,,,,,,,,0,50487,25235,17%,0.078416019,0.154463123
North Ayrshire and Arran,S14000048,93100,1.106816988,SC,Scotland,none,SNP,8521,65.4,14855,6702,2107,1114,0,23376,0,,,,,,,,,,0,48154,23376,18%,0.068905313,0.152531141
Uxbridge and South Ruislip,E14001558,118333,0.87080241,GL,England,26.4,Con,7939,67.7,26712,18773,3371,1347,0,0,0,,,,,,,,,,579,50782,26712,16%,0.086804371,0.15117891
South Shields,E14001492,88773,1.160765791,NE,England,11,Lab,8365,65.7,11827,20192,1625,1442,6725,0,0,,,,,,,,,,3987,45798,20192,18%,0.064646195,0.150078183
Lagan Valley,N05000009,112000,0.920041621,NI,Northern Ireland,18.8,DUP,7475,59.9,,,,,,,,19840,1994,12365,1855,8460,,,878,,315,45707,19840,16%,0.080073197,0.147341348
Sefton Central,E14001463,90788,1.135003101,NW,England,22.5,Lab,10414,76.4,19600,30014,3789,1183,2081,0,0,,,,,,,,,,422,57089,30014,18%,0.064815094,0.147130665
Corby and East Northamptonshire,E14001179,116591,0.883813172,EM,England,10.7,Con,8676,70.2,29443,20767,3680,0,0,0,0,,,,,,,,,,0,53890,29443,16%,0.082390354,0.145635361
Woking,E14001592,103943,0.991357393,SE,England,5.9,Con,8683,70.4,24358,8444,15675,1398,0,0,0,,,,,,,,,,600,50475,24358,17%,0.07281483,0.144371039
Reading Central,E14001438,116335,0.88575804,SE,England,58.3,Lab,8351,72.3,18756,27107,3288,1603,574,0,0,,,,,,,,,,202,51530,27107,16%,0.081412239,0.144223091
Birmingham Edgbaston,E14001092,108344,0.951087846,WM,England,13.6,Lab,7691,63.9,16167,23858,3306,1172,1096,0,0,,,,,,,,,,0,45599,23858,17%,0.075607019,0.143817834
Upper Bann,N05000017,122000,0.844628373,NI,Northern Ireland,16.4,DUP,7477,60.3,,,,,,,,18931,11454,5880,4351,5788,38,,,,,46442,18931,16%,0.082388607,0.139175511
Stevenage,E14001516,99971,1.030745532,EE,England,none,Con,8562,67.8,25328,16766,4132,1457,0,0,0,,,,,,,,,,0,47683,25328,18%,0.066921921,0.137958942
Glasgow South,S14000087,91000,1.132358918,SC,Scotland,19.6,SNP,9151,68,6161,14298,2922,1266,452,23449,0,,,,,,,,,,0,48548,23449,19%,0.060550447,0.137129677
Chelsea and Fulham,E14001160,119520,0.862154129,GL,England,26.7,Con,8993,71.6,24909,15916,13053,228,175,0,0,,,,,,,,,,500,54781,24909,16%,0.079518144,0.137113792
Bathgate and Linlithgow,S14000068,97000,1.062316098,SC,Scotland,37.3,SNP,8671,65.9,11635,8874,3881,1029,904,20306,0,,,,,,,,,,588,47217,20306,18%,0.06393222,0.135832454
Cambridge,E14001149,124084,0.830442777,EE,England,7.6,Lab,8099,68.6,7344,23600,15501,2068,958,0,0,,,,,,,,,,269,49740,23600,16%,0.080716989,0.134061681
"Motherwell, Wishaw and Carluke",S14000099,97200,1.060130263,SC,Scotland,46.7,SNP,8294,62.1,9537,12344,1781,0,0,20638,0,,,,,,,,,,619,44919,20638,18%,0.063218769,0.134040261
Crawley,E14001184,118493,0.869626573,SE,England,none,Con,8360,67,27040,18680,2728,1451,0,0,0,,,,,,,,,,0,49899,27040,17%,0.076567883,0.133170932
West Tyrone,N05000018,99800,1.032511639,NI,Northern Ireland,6.1,SF,8074,62.2,,,,,,,,9530,17604,4206,8108,2882,1010,30,,521,,43891,17604,18%,0.063707619,0.131557716
Bournemouth East,E14001115,106938,0.963592563,SW,England,0.1,Con,8817,67.4,24957,16140,5418,2052,0,0,0,,,,,,,,,,761,49328,24957,18%,0.067538269,0.130158747
Dorking and Horley,E14001201,93815,1.098381512,SE,England,67,Con,"10,381",77.5,27883,5415,17502,2302,0,0,0,,,,,,,,,,1393,"54,495",27883,19%,0.059208744,0.130067581
Feltham and Heston,E14001236,133153,0.773881636,GL,England,8.3,Lab,6993,58.3,15705,22698,2907,1049,1524,0,0,,,,,,,,,,0,43883,22698,16%,0.0839168,0.129883342
Coventry East,E14001180,118282,0.871177876,WM,England,34.5,Lab,7288,58.2,14950,22238,2307,995,2194,0,0,,,,,,,,,,0,42684,22238,17%,0.073868389,0.128705012
Inverclyde and Renfrewshire West,S14000093,92600,1.112793321,SC,Scotland,15.3,SNP,8933,65.8,8284,13062,2982,0,0,21995,0,,,,,,,,,,0,46323,21995,19%,0.057672619,0.128355411
Oxford West and Abingdon,E14001420,106263,0.969713461,SE,England,31.1,LD,9577,73.5,18039,6242,27616,249,769,0,0,,,,,,,,,,0,52915,27616,18%,0.065860461,0.12773155
Harrow East,E14001270,118307,0.870993783,GL,England,23.8,Con,8987,68.5,28555,19568,3930,136,98,0,0,,,,,,,,,,0,52287,28555,17%,0.072935193,0.1270522
Neath and Swansea East,W07000103,99528,1.035333389,WA,Wales,95.7,Lab,"8,451",60,12651,21102,1849,776,3965,0,3820,,,,,,,,,,661,"44,824",21102,19%,0.060520934,0.125318688
Godalming and Ash,E14001249,96480,1.068041683,SE,England,108.1,Con,"10,720",78,29728,4964,19008,903,0,0,0,,,,,,,,,,1071,"55,674",29728,19%,0.057861595,0.123597191
Didcot and Wantage,E14001197,106218,0.970124287,SE,England,23.8,Con,10023,73.1,27045,8708,17022,370,0,0,0,,,,,,,,,,1201,54346,27045,18%,0.063370525,0.122954572
Camborne and Redruth,E14001148,99095,1.039857324,SW,England,19.6,Con,9848,70.1,27471,17623,4370,1441,0,0,0,,,,,,,,,,676,51581,27471,19%,0.058925288,0.122547785
Ilford North,E14001300,119479,0.862449983,GL,England,46,Lab,9030,69.3,18994,28024,2056,709,968,0,0,,,,,,,,,,1010,51761,28024,17%,0.070859892,0.122226226
Dwyfor Meirionnydd,W07000096,94479,1.090662068,WA,Wales,62.7,PC,9880,69.6,13230,11541,79,0,2558,0,23110,,,,,,,,,,0,50518,23110,20%,0.055934475,0.122011221
Easington,E14001211,93176,1.1059142,NE,England,14.2,Lab,7852,56.9,10782,18634,1650,104,7230,0,0,,,,,,,,,,1448,39848,18634,20%,0.055018071,0.121690533
York Outer,E14001605,93550,1.101492908,YH,England,4.7,Con,10782,75.3,27173,16391,10222,9,263,0,0,,,,,,,,,,692,54750,27173,20%,0.055090386,0.121363339
Bristol South,E14001135,104096,0.989900299,SW,England,11.7,Lab,9077,64.6,15840,24917,3012,2445,2054,0,0,,,,,,,,,,0,48268,24917,19%,0.060849347,0.120469574
Bermondsey and Old Southwark,E14001085,107159,0.961605292,GL,England,25.3,Lab,8515,65,7710,22776,14261,25,1113,0,0,,,,,,,,,,0,45885,22776,19%,0.06256429,0.120324305
Stoke-on-Trent North,E14001521,100318,1.027180182,WM,England,15.5,Con,8077,59.9,22657,14580,1383,572,2334,0,0,,,,,,,,,,322,41848,22657,19%,0.057565197,0.11825966
Pontypridd,W07000106,101437,1.015848867,WA,Wales,80.2,Lab,8798,61.8,12456,21254,639,101,3855,0,4963,,,,,,,,,,2311,45579,21254,19%,0.057552651,0.116929591
Macclesfield,E14001347,95571,1.078200098,NW,England,none,Con,10711,71,28292,17581,5684,2310,0,0,0,,,,,,,,,,0,53867,28292,20%,0.053924357,0.116282495
Rochdale,E14001446,102906,1.001347458,NW,England,10.3,Lab,8109,58.7,13270,21379,3168,790,3451,0,0,,,,,,,,,,0,42058,21379,19%,0.057696133,0.115547752
Enfield North,E14001225,127376,0.808980197,GL,England,20.1,Lab,8853,66.1,18250,27103,3319,1228,908,0,0,,,,,,,,,,0,50808,27103,17%,0.071027911,0.114920346
Blackpool North and Fleetwood,E14001104,95006,1.084612146,NW,England,80.1,Con,10119,66.4,27946,17827,2020,954,858,0,0,,,,,,,,,,443,50048,27946,20%,0.051941911,0.112673655
Rossendale and Darwen,E14001450,101405,1.016169435,NW,England,3.1,Con,9834,66.9,28124,18290,2083,1236,180,0,0,,,,,,,,,,0,49913,28124,20%,0.055034074,0.111847887
Monmouthshire,W07000101,92957,1.108519655,WA,Wales,32,Con,10837,72.7,27568,16731,5071,1333,451,0,1283,,,,,,,,,,435,52872,27568,20%,0.050349109,0.111625954
Harrow West,E14001271,121387,0.848893716,GL,England,14.8,Lab,9098,67.2,17339,26437,4107,1028,882,0,0,,,,,,,,,,0,49793,26437,18%,0.064598029,0.109673722
Edinburgh South,S14000080,97700,1.054704826,SC,Scotland,6.7,Lab,10795,74.7,8922,24508,4344,1542,0,13713,0,,,,,,,,,,0,53029,24508,20%,0.051144148,0.107883959
Wolverhampton North East,E14001594,104528,0.985809176,WM,England,44.4,Con,7847,56.2,22034,14187,1412,725,1206,0,0,,,,,,,,,,0,39564,22034,20%,0.054230047,0.106920956
Dunfermline and Dollar,S14000076,95400,1.080132721,SC,Scotland,17.1,SNP,10073,68.7,10429,11463,4105,1085,1,21536,0,,,,,,,,,,0,48619,21536,21%,0.049115048,0.106101542
West Dunbartonshire,S14000106,91300,1.128638133,SC,Scotland,3.7,SNP,9841,66.3,6606,13322,1949,867,0,23163,0,,,,,,,,,,708,46615,23163,21%,0.047000127,0.106092271
Scarborough and Whitby,E14001461,97185,1.060293888,YH,England,none,Con,10270,67.3,27593,17323,3038,0,0,0,0,,,,,,,,,,1770,49724,27593,21%,0.049469631,0.104904695
Cardiff West,W07000092,102505,1.005264734,WA,Wales,8.9,Lab,10546,70.2,15505,26051,2749,1141,1917,0,4419,,,,,,,,,,159,51941,26051,20%,0.051448525,0.103438776
Gloucester,E14001248,116417,0.885134143,SW,England,5.9,Con,9880,66.6,27887,18007,3920,1279,0,0,0,,,,,,,,,,0,51093,27887,19%,0.057330454,0.101490284
Hitchin,E14001289,98717,1.043839071,EE,England,88.5,Con,11264,75,25419,14155,12798,818,0,0,0,,,,,,,,,,871,54061,25419,21%,0.048473011,0.101196045
Kingston and Surbiton,E14001312,115117,0.895129838,GL,England,24.4,LD,11174,75.7,18884,5829,30058,900,649,0,0,,,,,,,,,,775,57095,30058,20%,0.055849934,0.099985885
West Dorset,E14001575,93589,1.101033899,SW,England,9,Con,12388,76.7,31375,5414,18987,2037,0,0,0,,,,,,,,,,0,57813,31375,21%,0.045363371,0.099893217
Glasgow West,S14000089,103000,1.000433607,SC,Scotland,25.4,SNP,9728,65.2,7254,13236,3554,180,74,22964,0,,,,,,,,,,0,47262,22964,21%,0.049863899,0.099771041
Arbroath and Broughty Ferry,S14000066,102000,1.01024178,SC,Scotland,56.8,SNP,10777,67.9,15773,5321,4168,0,0,26550,0,,,,,,,,,,312,52124,26550,21%,0.049349622,0.099710099
Luton North,E14001345,115757,0.890180823,EE,England,7.6,Lab,8740,60.9,15275,24015,2063,832,1319,0,0,,,,,,,,,,1086,44590,24015,20%,0.055663113,0.099100471
Bolton West,E14001112,98270,1.048587173,NW,England,28.6,Con,10619,69.1,28197,17578,2815,893,385,0,0,,,,,,,,,,0,49868,28197,21%,0.046046687,0.096567931
Erewash,E14001228,95173,1.082708978,EM,England,none,Con,10606,67.8,27560,16954,2487,1115,0,0,0,,,,,,,,,,698,48814,27560,22%,0.043866121,0.094988486
Bath,E14001080,102411,1.006187436,SW,England,8.5,LD,12125,77.7,18251,7120,30376,146,642,0,0,,,,,,,,,,341,56876,30376,21%,0.045922618,0.092413523
Glenrothes and Mid Fife,S14000090,93900,1.097387237,SC,Scotland,39.1,SNP,9352,60.6,6482,11569,1876,146,1284,20921,0,,,,,,,,,,0,42278,20921,22%,0.041977758,0.092131712
Hammersmith and Chiswick,E14001264,116231,0.886550589,GL,England,65.3,Lab,10823,71.3,16228,27051,7390,1632,976,0,0,,,,,,,,,,0,53277,27051,20%,0.051386469,0.091113408
Henley and Thame,E14001280,95239,1.081958668,SE,England,8.5,Con,11901,76.2,29333,4809,17432,2268,0,0,0,,,,,,,,,,0,53842,29333,22%,0.042056297,0.09100635
Newry and Armagh,N05000011,111700,0.922512637,NI,Northern Ireland,13,SF,9673,62.4,,,,,,,,9415,19088,3913,9019,3605,1531,,,,,46571,19088,21%,0.048828746,0.090090271
Stockton West,E14001519,91340,1.128143875,NE,England,37.3,Con,11749,74.2,29397,17648,2316,262,2427,0,0,,,,,,,,,,0,52050,29397,23%,0.039904342,0.090035678
Hexham,E14001285,92072,1.119174793,NE,England,18.5,Con,12186,74.2,29313,17127,5078,1954,473,0,0,,,,,,,,,,0,53945,29313,23%,0.039827775,0.089148484
Scunthorpe,E14001462,105451,0.977180506,YH,England,18.8,Con,10133,63.6,26616,16483,1249,866,2044,0,0,,,,,,,,,,0,47258,26616,21%,0.045291456,0.088515856
Welwyn Hatfield,E14001573,113750,0.905887134,EE,England,0.5,Con,10773,69.5,27188,16415,6583,1611,0,0,0,,,,,,,,,,0,51797,27188,21%,0.048675503,0.088189024
Ossett and Denby Dale,E14001418,93221,1.105380349,YH,England,92.5,Con,11027,67.9,26177,15150,2400,602,2484,0,0,,,,,,,,,,1795,48608,26177,23%,0.03940232,0.0871091
Brent West,E14001123,133671,0.770882701,GL,England,44.7,Lab,9431,63.3,16361,25792,4408,826,750,0,0,,,,,,,,,,270,48407,25792,19%,0.056404194,0.086962035
Middlesbrough South and East Cleveland,E14001368,92409,1.115093352,NE,England,14.1,Con,10299,64.3,26050,15751,1823,1005,128,0,0,,,,,,,,,,266,45023,26050,23%,0.038575251,0.086030011
Carlisle,E14001152,102662,1.003727392,NW,England,36.7,Con,11290,67.5,28959,17669,2560,823,0,0,0,,,,,,,,,,1229,51240,28959,22%,0.042387289,0.085090567
Newbury,E14001376,97657,1.05516923,SE,England,14.4,Con,11460,71.2,28075,3929,16615,2027,0,0,0,,,,,,,,,,325,50971,28075,22%,0.040304791,0.08505675
Bournemouth West,E14001116,107224,0.96102236,SW,England,7.6,Con,9941,63.5,24512,14571,4603,2066,0,0,0,,,,,,,,,,0,45752,24512,22%,0.043862984,0.084306616
Mid Ulster,N05000010,105200,0.979511992,NI,Northern Ireland,9.3,SF,9806,63.5,,,,,,,,10566,20372,3395,6194,3317,,,,,690,44534,20372,22%,0.042455878,0.083172084
Earley and Woodley,E14001210,105714,0.974749433,SE,England,113,Con,11293,72.9,24922,13629,11147,1134,278,0,0,,,,,,,,,,0,51110,24922,22%,0.042094383,0.082062951
Doncaster East and the Isle of Axholme,E14001199,93677,1.099999589,YH,England,65.2,Con,10085,61.4,22460,12375,1912,1015,4452,0,0,,,,,,,,,,870,43084,22460,23%,0.036340717,0.079949548
Paisley and Renfrewshire South,S14000102,88900,1.159107554,SC,Scotland,17.1,SNP,11023,66,8366,11910,2869,0,0,22933,0,,,,,,,,,,0,46078,22933,24%,0.034304976,0.079526314
Exeter,E14001231,101694,1.013281625,SW,England,13,Lab,10988,67.4,15512,26500,8,4516,1257,0,0,,,,,,,,,,565,48358,26500,23%,0.039240997,0.079524362
Wokingham,E14001593,98225,1.049067565,SE,England,83.8,Con,12750,78.3,30524,5423,17774,1211,0,0,0,,,,,,,,,,80,55012,30524,23%,0.037293193,0.078246158
Twickenham,E14001556,107335,0.960028523,GL,England,8.9,LD,13074,76.9,19742,5051,32816,0,743,0,0,,,,,,,,,,0,58352,32816,22%,0.040658305,0.078066264
Nottingham South,E14001412,109364,0.94221738,EM,England,34.5,Lab,10041,59.3,14240,24281,3032,1483,2090,0,0,,,,,,,,,,0,45126,24281,22%,0.041367382,0.077954132
Swansea West,W07000108,104543,0.98566773,WA,Wales,97.1,Lab,10037,59.2,12672,22709,2834,367,3022,0,2595,,,,,,,,,,0,44199,22709,23%,0.039300543,0.077474554
Hayes and Harlington,E14001276,126402,0.815213854,GL,England,none,Lab,9261,60.4,15284,24545,1947,739,1292,0,0,,,,,,,,,,187,43994,24545,21%,0.047320384,0.077152464
Edinburgh North and Leith,S14000079,113000,0.91189966,SC,Scotland,13.3,SNP,12983,76.7,10362,12790,7364,1920,508,25773,0,,,,,,,,,,138,58855,25773,22%,0.042265312,0.077083446
Edinburgh South West,S14000081,105000,0.981377729,SC,Scotland,none,SNP,11982,71.1,12848,7478,4971,1265,625,24830,0,,,,,,,,,,114,52131,24830,23%,0.038105353,0.07479149
Colchester,E14001176,114325,0.901330956,EE,England,8.8,Con,10940,63.9,25693,14753,7209,1436,0,0,0,,,,,,,,,,0,49091,25693,22%,0.041209631,0.074287031
East Londonderry,N05000006,103300,0.997528185,NI,Northern Ireland,4,DUP,9707,56.9,,,,,,,,16456,6343,5970,6749,3756,1776,51,,,,41101,16456,24%,0.035497274,0.070819063
Edinburgh East and Musselburgh,S14000078,118000,0.873259844,SC,Scotland,22.7,SNP,11796,69,7354,13791,3642,1879,0,25587,0,,,,,,,,,,0,52253,25587,23%,0.03989427,0.069676127
Great Grimsby and Cleethorpes,E14001255,107435,0.959134933,YH,England,55.8,Con,9759,54.1,23178,13419,2052,821,2049,0,0,,,,,,,,,,156,41675,23178,23%,0.036303474,0.06963986
Cardiff South and Penarth,W07000091,106457,0.967946321,WA,Wales,57.4,Lab,11851,69.7,15179,27030,3528,1153,1389,0,2091,,,,,,,,,,0,50370,27030,24%,0.035855035,0.069411499
Paisley and Renfrewshire North,S14000101,90100,1.143669939,SC,Scotland,44.2,SNP,11753,66.9,9134,11103,3539,0,146,22856,0,,,,,,,,,,0,46778,22856,25%,0.029982129,0.06857932
Wythenshawe and Sale East,E14001602,111581,0.923496487,NW,England,none,Lab,10396,58.2,13459,23855,3111,1559,2717,0,0,,,,,,,,,,58,44759,23855,23%,0.037085549,0.068496748
